mes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Jan,10,13,9,7,9,3,8,7,7,9,8,20,13,20,13,15,7,19,19,15,10,9,17,11
Fev,12,6,7,10,2,10,4,8,11,21,12,19,20,17,18,17,13,15,12,9,9,21,18,15
Mar,7,9,12,12,6,6,6,5,5,13,14,21,28,24,25,16,14,15,19,15,26,12,22,10
Abr,7,8,9,7,5,6,2,6,10,17,18,16,15,22,15,22,10,14,11,17,18,13,11,13
Mai,2,1,2,2,0,6,0,0,4,2,11,4,7,8,7,8,5,8,9,11,8,4,0,3
Jun,1,3,1,6,0,1,0,1,2,5,5,2,9,6,10,6,7,8,12,7,9,7,3,4
Jul,0,1,0,3,2,3,1,0,0,6,5,6,4,5,7,8,6,0,7,7,3,7,3,2
Ago,8,2,2,4,2,1,1,3,2,3,5,5,9,13,7,15,11,10,13,9,7,9,7,6
Set,5,4,5,5,1,2,1,3,1,7,8,11,13,5,17,6,10,6,8,10,3,12,5,4
Out,4,8,2,7,4,2,1,0,3,9,14,4,14,18,7,11,14,16,13,13,11,14,10,9
Nov,13,10,4,8,3,5,4,2,8,12,7,11,10,10,11,5,7,10,11,14,5,7,14,11
Dez,7,6,9,1,2,1,1,1,5,5,6,5,10,9,16,6,5,8,9,8,11,10,15,9
