support,itemsets
0.1707,Faixa_horaria:MANHÃ
0.3518,Faixa_horaria:NOITE
0.4622,Faixa_horaria:TARDE
0.0432,Fase_operacao:APROXIMAÇÃO FINAL
0.1023,Fase_operacao:CORRIDA APÓS POUSO
0.1351,Fase_operacao:CRUZEIRO
0.1851,Fase_operacao:DECOLAGEM
0.0505,Fase_operacao:ESPECIALIZADA
0.0815,Fase_operacao:MANOBRA
0.1815,Fase_operacao:POUSO
0.0473,Fase_operacao:SUBIDA
0.3703,Fator:APLICAÇÃO DE COMANDOS
0.1041,Fator:ATENÇÃO
0.2383,Fator:ATITUDE
0.0802,Fator:CAPACITAÇÃO E TREINAMENTO
0.0333,Fator:COMUNICAÇÃO
0.1126,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS
0.0923,Fator:COORDENAÇÃO DE CABINE
0.0405,Fator:CULTURA DO GRUPO DE TRABALHO
0.0644,Fator:CULTURA ORGANIZACIONAL
0.0473,Fator:ESQUECIMENTO DO PILOTO
0.0311,Fator:ESTADO EMOCIONAL
0.1045,Fator:INDISCIPLINA DE VOO
0.0698,Fator:INFRAESTRUTURA AEROPORTUÁRIA
0.1135,Fator:INSTRUÇÃO
0.5216,Fator:JULGAMENTO DE PILOTAGEM
0.2450,Fator:MANUTENÇÃO DA AERONAVE
0.0401,Fator:MEMÓRIA
0.0532,Fator:MOTIVAÇÃO
0.0964,Fator:OUTRO FATOR
0.1559,Fator:PERCEPÇÃO
0.2892,Fator:PLANEJAMENTO DE VOO
0.0541,Fator:PLANEJAMENTO GERENCIAL
0.1595,Fator:POUCA EXPERIÊNCIA DO PILOTO
0.2221,Fator:PROCESSO DECISÓRIO
0.0775,Fator:PROCESSOS ORGANIZACIONAIS
0.0707,Fator:SISTEMAS DE APOIO
0.3059,Fator:SUPERVISÃO GERENCIAL
0.0874,Mes:ABRIL
0.0752,Mes:AGOSTO
0.0932,Mes:DEZEMBRO
0.0973,Mes:FEVEREIRO
0.1072,Mes:JANEIRO
0.0806,Mes:JULHO
0.0590,Mes:JUNHO
0.0730,Mes:MAIO
0.0883,Mes:MARÇO
0.0838,Mes:NOVEMBRO
0.0757,Mes:OUTUBRO
0.0793,Mes:SETEMBRO
0.1505,Nivel_dano:DESTRUÍDA
