antecedents,consequents,support,confidence,lift
Fase_operacao:CRUZEIRO + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0320,0.6339,2.5870
Nivel_dano:DESTRUÍDA,Fator:INDISCIPLINA DE VOO,0.0401,0.2665,2.5498
Faixa_horaria:NOITE + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0441,0.6203,2.5312
Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.1153,0.6199,2.5296
Faixa_horaria:TARDE + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0514,0.6032,2.4615
Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0302,0.5982,2.4412
Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0793,0.5946,2.4265
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0365,0.5827,2.3781
Nivel_dano:DESTRUÍDA,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS,0.0383,0.2545,2.2599
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0365,0.3584,2.2476
Tipo:PERDA DE CONTROLE NO SOLO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0455,0.3483,2.1841
Fase_operacao:POUSO + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0311,0.8023,2.1669
Faixa_horaria:NOITE + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0365,0.7500,2.0255
Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fator:PLANEJAMENTO DE VOO,0.0374,0.5804,2.0071
Tipo:EXCURSÃO DE PISTA + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0360,0.7080,1.9120
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0482,0.6993,1.8887
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0320,0.6961,1.8799
Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0896,0.6862,1.8533
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0401,0.6794,1.8348
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0671,0.6593,1.7806
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0667,0.6463,1.7454
Fase_operacao:CRUZEIRO + Nivel_dano:SUBSTANCIAL,Fator:MANUTENÇÃO DA AERONAVE,0.0311,0.4259,1.7382
Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.1050,0.6419,1.7335
Nivel_dano:DESTRUÍDA,Fator:ATITUDE,0.0617,0.4102,1.7214
Nivel_dano:DESTRUÍDA + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0329,0.6134,1.6568
Fase_operacao:CRUZEIRO,Fator:MANUTENÇÃO DA AERONAVE,0.0523,0.3867,1.5779
Faixa_horaria:NOITE + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0347,0.5789,1.5636
Faixa_horaria:TARDE + Tipo:EXCURSÃO DE PISTA,Fator:APLICAÇÃO DE COMANDOS,0.0383,0.5519,1.4907
Tipo:EXCURSÃO DE PISTA,Fator:APLICAÇÃO DE COMANDOS,0.0703,0.5455,1.4731
Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL,Fator:PLANEJAMENTO DE VOO,0.0572,0.4219,1.4590
Tipo:PERDA DE CONTROLE EM VOO,Fator:PERCEPÇÃO,0.0369,0.2259,1.4494
Fase_operacao:CORRIDA APÓS POUSO + Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.0365,0.5364,1.4487
Nivel_dano:DESTRUÍDA,Fator:PROCESSO DECISÓRIO,0.0477,0.3174,1.4291
Fase_operacao:CORRIDA APÓS POUSO,Fator:APLICAÇÃO DE COMANDOS,0.0541,0.5286,1.4277
Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA,Fator:APLICAÇÃO DE COMANDOS,0.0491,0.5215,1.4085
Nivel_dano:SUBSTANCIAL + Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fator:JULGAMENTO DE PILOTAGEM,0.0320,0.7320,1.4032
UF:RS,Fator:SUPERVISÃO GERENCIAL,0.0378,0.4286,1.4012
Nivel_dano:DESTRUÍDA,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0333,0.2216,1.3894
Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fator:JULGAMENTO DE PILOTAGEM,0.0464,0.7203,1.3808
Faixa_horaria:TARDE + Fase_operacao:POUSO,Fator:APLICAÇÃO DE COMANDOS,0.0450,0.5102,1.3779
Faixa_horaria:TARDE + Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.0324,0.5035,1.3598
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO,Fator:JULGAMENTO DE PILOTAGEM,0.0324,0.7059,1.3532
Faixa_horaria:TARDE + UF:SP,Fator:APLICAÇÃO DE COMANDOS,0.0473,0.4953,1.3376
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + UF:SP,Fator:APLICAÇÃO DE COMANDOS,0.0347,0.4936,1.3331
UF:SP,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0396,0.2115,1.3266
Nivel_dano:DESTRUÍDA,Fator:PERCEPÇÃO,0.0311,0.2066,1.3255
Tipo:PERDA DE CONTROLE EM VOO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0342,0.2094,1.3130
Tipo:PERDA DE CONTROLE EM VOO,Fator:ATITUDE,0.0509,0.3113,1.3064
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0468,0.6797,1.3031
Fase_operacao:POUSO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0374,0.2060,1.2916
Tipo:PERDA DE CONTROLE EM VOO,Fator:PROCESSO DECISÓRIO,0.0468,0.2865,1.2901
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0694,0.6725,1.2892
Fase_operacao:DECOLAGEM,Fator:PLANEJAMENTO DE VOO,0.0689,0.3723,1.2873
Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.0626,0.4760,1.2856
Nivel_dano:DESTRUÍDA,Fator:PLANEJAMENTO DE VOO,0.0559,0.3713,1.2838
UF:PR,Fator:APLICAÇÃO DE COMANDOS,0.0347,0.4753,1.2837
