ocorrencia_tipo,fator_nome,qtd_ocorrencias_com_fator,total_ocorrencias_do_tipo,ocorrencias_do_tipo_com_fator_registrado,perc_sobre_total_do_tipo,perc_sobre_ocorrencias_com_fator
COLISÃO COM AVE,INFLUÊNCIA DO MEIO AMBIENTE,4,2412,11,0.166,36.364
COLISÃO COM AVE,PRESENÇA DE AVE,4,2412,11,0.166,36.364
COLISÃO COM AVE,JULGAMENTO DE PILOTAGEM,3,2412,11,0.124,27.273
COLISÃO COM AVE,PROCESSO DECISÓRIO,3,2412,11,0.124,27.273
COLISÃO COM AVE,APLICAÇÃO DE COMANDOS,2,2412,11,0.083,18.182
COLISÃO COM AVE,INFRAESTRUTURA AEROPORTUÁRIA,2,2412,11,0.083,18.182
COLISÃO COM AVE,OUTRO FATOR,2,2412,11,0.083,18.182
COLISÃO COM AVE,PLANEJAMENTO DE VOO,2,2412,11,0.083,18.182
COLISÃO COM AVE,ATITUDE,1,2412,11,0.041,9.091
COLISÃO COM AVE,CAPACITAÇÃO E TREINAMENTO,1,2412,11,0.041,9.091
ESTOURO DE PNEU,INFRAESTRUTURA AEROPORTUÁRIA,6,902,19,0.665,31.579
ESTOURO DE PNEU,MANUTENÇÃO DA AERONAVE,6,902,19,0.665,31.579
ESTOURO DE PNEU,APLICAÇÃO DE COMANDOS,5,902,19,0.554,26.316
ESTOURO DE PNEU,JULGAMENTO DE PILOTAGEM,5,902,19,0.554,26.316
ESTOURO DE PNEU,ATITUDE,4,902,19,0.443,21.053
ESTOURO DE PNEU,COORDENAÇÃO DE CABINE,4,902,19,0.443,21.053
ESTOURO DE PNEU,PROCESSO DECISÓRIO,3,902,19,0.333,15.789
ESTOURO DE PNEU,ESQUECIMENTO DO PILOTO,2,902,19,0.222,10.526
ESTOURO DE PNEU,INSTRUÇÃO,2,902,19,0.222,10.526
ESTOURO DE PNEU,MEMÓRIA,2,902,19,0.222,10.526
FALHA DO MOTOR EM VOO,MANUTENÇÃO DA AERONAVE,256,1134,413,22.575,61.985
FALHA DO MOTOR EM VOO,JULGAMENTO DE PILOTAGEM,146,1134,413,12.875,35.351
FALHA DO MOTOR EM VOO,SUPERVISÃO GERENCIAL,139,1134,413,12.257,33.656
FALHA DO MOTOR EM VOO,APLICAÇÃO DE COMANDOS,85,1134,413,7.496,20.581
FALHA DO MOTOR EM VOO,ATITUDE,70,1134,413,6.173,16.949
FALHA DO MOTOR EM VOO,PROCESSO DECISÓRIO,53,1134,413,4.674,12.833
FALHA DO MOTOR EM VOO,OUTRO FATOR,50,1134,413,4.409,12.107
FALHA DO MOTOR EM VOO,PLANEJAMENTO DE VOO,46,1134,413,4.056,11.138
FALHA DO MOTOR EM VOO,INDISCIPLINA DE VOO,35,1134,413,3.086,8.475
FALHA DO MOTOR EM VOO,POUCA EXPERIÊNCIA DO PILOTO,34,1134,413,2.998,8.232
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MANUTENÇÃO DA AERONAVE,40,3144,60,1.272,66.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SUPERVISÃO GERENCIAL,30,3144,60,0.954,50.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,JULGAMENTO DE PILOTAGEM,21,3144,60,0.668,35.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,APLICAÇÃO DE COMANDOS,13,3144,60,0.413,21.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PROCESSO DECISÓRIO,12,3144,60,0.382,20.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ATITUDE,10,3144,60,0.318,16.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAPACITAÇÃO E TREINAMENTO,10,3144,60,0.318,16.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INSTRUÇÃO,8,3144,60,0.254,13.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CULTURA ORGANIZACIONAL,7,3144,60,0.223,11.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,OUTRO FATOR,6,3144,60,0.191,10.000
PERDA DE CONTROLE NO SOLO,APLICAÇÃO DE COMANDOS,199,754,290,26.393,68.621
PERDA DE CONTROLE NO SOLO,JULGAMENTO DE PILOTAGEM,176,754,290,23.342,60.690
PERDA DE CONTROLE NO SOLO,POUCA EXPERIÊNCIA DO PILOTO,101,754,290,13.395,34.828
PERDA DE CONTROLE NO SOLO,SUPERVISÃO GERENCIAL,81,754,290,10.743,27.931
PERDA DE CONTROLE NO SOLO,PLANEJAMENTO DE VOO,69,754,290,9.151,23.793
PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,51,754,290,6.764,17.586
PERDA DE CONTROLE NO SOLO,PROCESSO DECISÓRIO,46,754,290,6.101,15.862
PERDA DE CONTROLE NO SOLO,ATITUDE,45,754,290,5.968,15.517
PERDA DE CONTROLE NO SOLO,COORDENAÇÃO DE CABINE,37,754,290,4.907,12.759
PERDA DE CONTROLE NO SOLO,CONDIÇÕES METEOROLÓGICAS ADVERSAS,34,754,290,4.509,11.724
