antecedents,consequents,support,confidence,lift
Fase_operacao:CRUZEIRO + Nivel_dano:NENHUM,Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,0.0632,0.5856,2.7240
Fase_operacao:CRUZEIRO + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Nivel_dano:NENHUM,0.0632,0.9448,1.8504
Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE + UF:SP,Nivel_dano:NENHUM,0.0552,0.8707,1.7052
Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Nivel_dano:NENHUM,0.1794,0.8346,1.6346
Faixa_horaria:TARDE + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Nivel_dano:NENHUM,0.0624,0.8044,1.5754
Fase_operacao:SUBIDA,Nivel_dano:NENHUM,0.0537,0.7291,1.4280
UF:RJ,Nivel_dano:NENHUM,0.0717,0.6868,1.3450
Faixa_horaria:MADRUGADA,Nivel_dano:NENHUM,0.0729,0.6777,1.3272
Fase_operacao:CRUZEIRO,Nivel_dano:NENHUM,0.1079,0.6761,1.3241
Tipo:COLISÃO COM AVE,Nivel_dano:NENHUM,0.1019,0.6177,1.2098
Faixa_horaria:MANHÃ,Nivel_dano:NENHUM,0.0931,0.5759,1.1279
