antecedents,consequents,support,confidence,lift
Fase_operacao:CRUZEIRO + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0320,0.6339,2.5870
Nivel_dano:DESTRUÍDA,Fator:INDISCIPLINA DE VOO,0.0401,0.2665,2.5498
Faixa_horaria:NOITE + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0441,0.6203,2.5312
Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.1153,0.6199,2.5296
Faixa_horaria:TARDE + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0514,0.6032,2.4615
Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0302,0.5982,2.4412
Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0793,0.5946,2.4265
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:MANUTENÇÃO DA AERONAVE,0.0365,0.5827,2.3781
Nivel_dano:DESTRUÍDA,Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS,0.0383,0.2545,2.2599
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0365,0.3584,2.2476
Tipo:PERDA DE CONTROLE NO SOLO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0455,0.3483,2.1841
Fase_operacao:POUSO + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0311,0.8023,2.1669
Faixa_horaria:NOITE + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0365,0.7500,2.0255
Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fator:PLANEJAMENTO DE VOO,0.0374,0.5804,2.0071
Tipo:EXCURSÃO DE PISTA + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0360,0.7080,1.9120
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0482,0.6993,1.8887
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:APLICAÇÃO DE COMANDOS,0.0320,0.6961,1.8799
Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0896,0.6862,1.8533
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0401,0.6794,1.8348
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO,Fator:APLICAÇÃO DE COMANDOS,0.0671,0.6593,1.7806
